
 check frequency: 0, call frequency: 1, raise frequency: 0, fold frequency: 0
 check frequency: 0, call frequency: 0.27419354838709675, raise frequency: 0.22580645161290322, fold frequency: 0.5
 check frequency: 0.015873015873015872, call frequency: 0.2698412698412698, raise frequency: 0.2222222222222222, fold frequency: 0.49206349206349204
 check frequency: 0.015625, call frequency: 0.28125, raise frequency: 0.21875, fold frequency: 0.484375
 check frequency: 0.03076923076923077, call frequency: 0.27692307692307694, raise frequency: 0.2153846153846154, fold frequency: 0.47692307692307695
 check frequency: 0.030303030303030304, call frequency: 0.2878787878787879, raise frequency: 0.21212121212121213, fold frequency: 0.4696969696969697
 check frequency: 0.04477611940298507, call frequency: 0.2835820895522388, raise frequency: 0.208955223880597, fold frequency: 0.4626865671641791
 check frequency: 0.04411764705882353, call frequency: 0.27941176470588236, raise frequency: 0.20588235294117646, fold frequency: 0.47058823529411764
 check frequency: 0.043478260869565216, call frequency: 0.2753623188405797, raise frequency: 0.2028985507246377, fold frequency: 0.4782608695652174
 check frequency: 0.04285714285714286, call frequency: 0.2857142857142857, raise frequency: 0.2, fold frequency: 0.4714285714285714
 check frequency: 0.04225352112676056, call frequency: 0.28169014084507044, raise frequency: 0.2112676056338028, fold frequency: 0.4647887323943662
 check frequency: 0.041666666666666664, call frequency: 0.2777777777777778, raise frequency: 0.20833333333333334, fold frequency: 0.4722222222222222
 check frequency: 0.0410958904109589, call frequency: 0.273972602739726, raise frequency: 0.2191780821917808, fold frequency: 0.4657534246575342
 check frequency: 0.05405405405405406, call frequency: 0.2702702702702703, raise frequency: 0.21621621621621623, fold frequency: 0.4594594594594595
 check frequency: 0.06666666666666667, call frequency: 0.26666666666666666, raise frequency: 0.21333333333333335, fold frequency: 0.4533333333333333
 check frequency: 0.06578947368421052, call frequency: 0.2631578947368421, raise frequency: 0.21052631578947367, fold frequency: 0.4605263157894737
 check frequency: 0.06493506493506493, call frequency: 0.2727272727272727, raise frequency: 0.2077922077922078, fold frequency: 0.45454545454545453
 check frequency: 0.0641025641025641, call frequency: 0.28205128205128205, raise frequency: 0.20512820512820512, fold frequency: 0.44871794871794873
 check frequency: 0.06329113924050633, call frequency: 0.2911392405063291, raise frequency: 0.20253164556962025, fold frequency: 0.4430379746835443
 check frequency: 0.0625, call frequency: 0.2875, raise frequency: 0.2125, fold frequency: 0.4375
 check frequency: 0.06172839506172839, call frequency: 0.2839506172839506, raise frequency: 0.20987654320987653, fold frequency: 0.4444444444444444
 check frequency: 0.06097560975609756, call frequency: 0.2804878048780488, raise frequency: 0.2073170731707317, fold frequency: 0.45121951219512196
 check frequency: 0.060240963855421686, call frequency: 0.27710843373493976, raise frequency: 0.20481927710843373, fold frequency: 0.4578313253012048
 check frequency: 0.05952380952380952, call frequency: 0.27380952380952384, raise frequency: 0.20238095238095238, fold frequency: 0.4642857142857143
 check frequency: 0.058823529411764705, call frequency: 0.27058823529411763, raise frequency: 0.2, fold frequency: 0.47058823529411764
 check frequency: 0.05813953488372093, call frequency: 0.26744186046511625, raise frequency: 0.19767441860465115, fold frequency: 0.47674418604651164
 check frequency: 0.05747126436781609, call frequency: 0.26436781609195403, raise frequency: 0.19540229885057472, fold frequency: 0.4827586206896552
 check frequency: 0.056818181818181816, call frequency: 0.26136363636363635, raise frequency: 0.19318181818181818, fold frequency: 0.48863636363636365
 check frequency: 0.056179775280898875, call frequency: 0.2696629213483146, raise frequency: 0.19101123595505617, fold frequency: 0.48314606741573035
 check frequency: 0.05555555555555555, call frequency: 0.26666666666666666, raise frequency: 0.2, fold frequency: 0.4777777777777778
 check frequency: 0.054945054945054944, call frequency: 0.26373626373626374, raise frequency: 0.1978021978021978, fold frequency: 0.4835164835164835
 check frequency: 0.05434782608695652, call frequency: 0.2608695652173913, raise frequency: 0.1956521739130435, fold frequency: 0.4891304347826087
 check frequency: 0.053763440860215055, call frequency: 0.25806451612903225, raise frequency: 0.1935483870967742, fold frequency: 0.4946236559139785
